Team,R,RBI,HR,AVGbat,OBP,SLG,wOBA,wRCplus,WARbat
HOU,313,294,68,0.268,0.339,0.428,0.332,118,12.3
TOR,282,267,84,0.258,0.323,0.44,0.33,110,9.0
CHW,291,270,60,0.254,0.341,0.408,0.33,113,12.0
CIN,282,268,82,0.249,0.326,0.429,0.329,106,8.4
BOS,299,277,74,0.258,0.317,0.438,0.326,106,9.9
LAD,313,297,72,0.238,0.337,0.404,0.325,109,11.1
ATL,277,267,86,0.235,0.317,0.43,0.322,102,7.5
SFG,284,270,85,0.235,0.322,0.42,0.322,106,9.8
MIN,270,253,83,0.241,0.316,0.425,0.322,106,8.4
OAK,265,246,77,0.233,0.316,0.411,0.317,108,8.9
LAA,277,261,75,0.247,0.31,0.416,0.315,103,5.8
CHC,273,262,77,0.236,0.314,0.407,0.315,99,8.5
TBR,302,287,73,0.229,0.315,0.392,0.311,103,10.4
WSN,215,206,55,0.247,0.317,0.385,0.308,92,6.6
SDP,285,267,63,0.236,0.322,0.377,0.308,97,7.7
BAL,240,230,65,0.239,0.304,0.399,0.307,97,6.0
PHI,245,235,62,0.237,0.311,0.386,0.305,92,6.1
ARI,261,246,60,0.235,0.309,0.386,0.305,91,6.4
COL,259,244,53,0.244,0.31,0.391,0.305,78,5.7
NYY,223,203,69,0.228,0.315,0.371,0.304,95,5.1
KCR,256,243,57,0.242,0.306,0.39,0.304,92,5.2
STL,254,239,69,0.231,0.302,0.391,0.301,93,6.1
NYM,192,183,48,0.234,0.313,0.368,0.301,95,5.3
CLE,231,219,68,0.221,0.291,0.387,0.296,87,3.5
MIL,231,221,75,0.211,0.297,0.372,0.295,85,5.7
TEX,238,224,67,0.228,0.298,0.371,0.295,89,4.3
MIA,225,213,54,0.23,0.299,0.368,0.292,89,5.6
DET,217,212,59,0.225,0.295,0.367,0.292,85,0.7
PIT,206,194,39,0.229,0.3,0.349,0.287,82,3.1
SEA,236,230,68,0.208,0.282,0.367,0.286,86,2.6
